,id,main_code,statistics_main_code,name,advisor,trustee,operate_mode_id,operate_mode,underlying_asset_type_id,underlying_asset_type,invest_style_id,invest_style,start_date,end_date
877,2304,003626,003626,平安鑫利混合,平安基金管理有限公司,平安银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-12-07,
878,2309,003634,003634,嘉实农业产业股票,嘉实基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2016-12-07,
879,2332,003670,,中融物联网主题,中融基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-02-27,
880,2347,003692,003692,大成景尚灵活配置混合,大成基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-11-11,
881,2362,003715,,宝盈消费主题灵活配置混合,宝盈基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-01-04,
882,2364,003717,003717,中银量化精选混合,中银基金管理有限公司,招商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-12-13,
883,2379,003739,,新华鑫弘,新华基金管理股份有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-11-30,
884,2384,003745,,广发多元新兴股票,广发基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-04-24,
885,2388,003751,003751,万家瑞隆,万家基金管理有限公司,华夏银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-11-30,
886,2435,003834,003834,华夏能源革新股票,华夏基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-06-07,
887,2436,003835,,鹏华沪深港新兴成长混合,鹏华基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-12-02,
888,2445,003848,003848,中银广利混合,中银基金管理有限公司,中国光大银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-12-14,
889,2446,003850,003850,中银锦利混合,中银基金管理有限公司,招商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-12-22,
890,2448,003853,003853,金鹰信息产业股票,金鹰基金管理有限公司,广州农村商业银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2018-04-18,
891,2451,003857,003857,前海开源周期优选混合,前海开源基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-01-25,
892,2467,003889,003889,汇安丰泽混合,汇安基金管理有限责任公司,兴业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-01-13,
893,2504,003956,,南方产业智选股票,南方基金管理股份有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-01-25,
894,2510,003966,003966,中银润利混合,中银基金管理有限公司,中信银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-12-14,
895,2520,003984,003984,嘉实新能源新材料股票,嘉实基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-03-16,
896,2525,003993,,前海开源沪港深核心驱动混合,前海开源基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2016-12-13,
897,2555,004040,004040,金鹰医疗健康股票,金鹰基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2018-04-13,
898,2557,004044,,金鹰转型动力混合,金鹰基金管理有限公司,兴业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-11-16,
899,2576,004075,004075,交银医药创新股票,交银施罗德基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-03-23,
